35540, 31840, 31080, 29000, 28420
41000
41000, 41000, 33000, 30000, 29000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
34000, 29000, 31000, 29000, 28000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
41000, 41000, 33000, 30000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 30000, 31000, 29000, 29000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 28000, 28000
34000, 29000, 30000, 29000, 28000
34000, 29000, 30000, 29000, 28000
34000, 29000, 30000, 29000, 28000
34000, 29000, 30000, 29000, 28000
34000, 29000, 30000, 29000, 28000
34000, 29000, 30000, 29000, 28000
34000, 29000, 30000, 29000, 28000
